"Step","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MAX","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MIN","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT601.train_loss","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MAX"
"32","-0.009183535191500685","-0.009183535191500685","-0.009183535191500685","-0.004424598294152599","-0.004424598294152599","-0.004424598294152599","-0.0022266850760137413","-0.0022266850760137413","-0.0022266850760137413","-0.01597448912763491","-0.01597448912763491","-0.01597448912763491","-0.025661233997097938","-0.025661233997097938","-0.025661233997097938","-0.006938614697929634","-0.006938614697929634","-0.006938614697929634"
"33","-0.00922243265795511","-0.00922243265795511","-0.00922243265795511","-0.004432925339263619","-0.004432925339263619","-0.004432925339263619","-0.002211722098490443","-0.002211722098490443","-0.002211722098490443","-0.015975563499602666","-0.015975563499602666","-0.015975563499602666","-0.025225715189683612","-0.025225715189683612","-0.025225715189683612","-0.00694574086663396","-0.00694574086663396","-0.00694574086663396"
"34","-0.009127272574338438","-0.009127272574338438","-0.009127272574338438","-0.004363991460726637","-0.004363991460726637","-0.004363991460726637","-0.002189488714241957","-0.002189488714241957","-0.002189488714241957","-0.015836136694039812","-0.015836136694039812","-0.015836136694039812","-0.025256541873416357","-0.025256541873416357","-0.025256541873416357","-0.006938338654994479","-0.006938338654994479","-0.006938338654994479"
"35","-0.009178970447556271","-0.009178970447556271","-0.009178970447556271","-0.004468987510703309","-0.004468987510703309","-0.004468987510703309","-0.002179526206698404","-0.002179526206698404","-0.002179526206698404","-0.015867894926342378","-0.015867894926342378","-0.015867894926342378","-0.024848791363653925","-0.024848791363653925","-0.024848791363653925","-0.0069468944213054015","-0.0069468944213054015","-0.0069468944213054015"
"36","-0.009121865387326403","-0.009121865387326403","-0.009121865387326403","-0.004288725459491649","-0.004288725459491649","-0.004288725459491649","-0.002175247496054885","-0.002175247496054885","-0.002175247496054885","-0.015962354571147454","-0.015962354571147454","-0.015962354571147454","-0.02521427807672226","-0.02521427807672226","-0.02521427807672226","-0.006939237306964677","-0.006939237306964677","-0.006939237306964677"
"37","-0.009135997972437637","-0.009135997972437637","-0.009135997972437637","-0.004382313080781515","-0.004382313080781515","-0.004382313080781515","-0.0021705815054317095","-0.0021705815054317095","-0.0021705815054317095","-0.015838511736068844","-0.015838511736068844","-0.015838511736068844","-0.025059851151341676","-0.025059851151341676","-0.025059851151341676","-0.0069375730706073765","-0.0069375730706073765","-0.0069375730706073765"
"38","-0.009157524526329234","-0.009157524526329234","-0.009157524526329234","-0.004321264433310016","-0.004321264433310016","-0.004321264433310016","-0.00215988239528168","-0.00215988239528168","-0.00215988239528168","-0.01586740473347261","-0.01586740473347261","-0.01586740473347261","-0.024818545516859115","-0.024818545516859115","-0.024818545516859115","-0.006937240816459236","-0.006937240816459236","-0.006937240816459236"
"39","-0.009086139389029725","-0.009086139389029725","-0.009086139389029725","-0.004376858367718828","-0.004376858367718828","-0.004376858367718828","-0.0021505576058430324","-0.0021505576058430324","-0.0021505576058430324","-0.01587309224980177","-0.01587309224980177","-0.01587309224980177","-0.02482897333162621","-0.02482897333162621","-0.02482897333162621","-0.006940085466845275","-0.006940085466845275","-0.006940085466845275"
"40","-0.009080891030641481","-0.009080891030641481","-0.009080891030641481","-0.0042784821238442535","-0.0042784821238442535","-0.0042784821238442535","-0.0021432980150055763","-0.0021432980150055763","-0.0021432980150055763","-0.01578762796374937","-0.01578762796374937","-0.01578762796374937","-0.02503258194120747","-0.02503258194120747","-0.02503258194120747","-0.006934861097967375","-0.006934861097967375","-0.006934861097967375"
"41","-0.009067402361369485","-0.009067402361369485","-0.009067402361369485","-0.004257135285074266","-0.004257135285074266","-0.004257135285074266","-0.002141974414235132","-0.002141974414235132","-0.002141974414235132","-0.01580150140541113","-0.01580150140541113","-0.01580150140541113","-0.024415662474650046","-0.024415662474650046","-0.024415662474650046","-0.006942500386050652","-0.006942500386050652","-0.006942500386050652"
"42","-0.009008030421730862","-0.009008030421730862","-0.009008030421730862","-0.004278770489635215","-0.004278770489635215","-0.004278770489635215","-0.002135927829433294","-0.002135927829433294","-0.002135927829433294","-0.01579605324428755","-0.01579605324428755","-0.01579605324428755","-0.02446463310112823","-0.02446463310112823","-0.02446463310112823","-0.006944202147081486","-0.006944202147081486","-0.006944202147081486"
"43","-0.009109702590863628","-0.009109702590863628","-0.009109702590863628","-0.004218925054176209","-0.004218925054176209","-0.004218925054176209","-0.00214825913820836","-0.00214825913820836","-0.00214825913820836","-0.015797967899476874","-0.015797967899476874","-0.015797967899476874","-0.024249885910254895","-0.024249885910254895","-0.024249885910254895","-0.0069420675318007585","-0.0069420675318007585","-0.0069420675318007585"
"44","-0.008957860984735054","-0.008957860984735054","-0.008957860984735054","-0.0042470035598416505","-0.0042470035598416505","-0.0042470035598416505","-0.002137291043285982","-0.002137291043285982","-0.002137291043285982","-0.015841013762694173","-0.015841013762694173","-0.015841013762694173","-0.024078739422329094","-0.024078739422329094","-0.024078739422329094","-0.006953675166354125","-0.006953675166354125","-0.006953675166354125"
"45","-0.009036556990227415","-0.009036556990227415","-0.009036556990227415","-0.004208773870562425","-0.004208773870562425","-0.004208773870562425","-0.0021348438471232916","-0.0021348438471232916","-0.0021348438471232916","-0.015759072462212982","-0.015759072462212982","-0.015759072462212982","-0.024722544672379047","-0.024722544672379047","-0.024722544672379047","-0.006943442186947396","-0.006943442186947396","-0.006943442186947396"
"46","-0.00888446679411917","-0.00888446679411917","-0.00888446679411917","-0.004390983315779745","-0.004390983315779745","-0.004390983315779745","-0.0021269728537148635","-0.0021269728537148635","-0.0021269728537148635","-0.015744516401953138","-0.015744516401953138","-0.015744516401953138","-0.023870564265274032","-0.023870564265274032","-0.023870564265274032","-0.006937982247745396","-0.006937982247745396","-0.006937982247745396"
"47","-0.008968207976866344","-0.008968207976866344","-0.008968207976866344","-0.00422882324257514","-0.00422882324257514","-0.00422882324257514","-0.0021260924203017504","-0.0021260924203017504","-0.0021260924203017504","-0.01581802480186355","-0.01581802480186355","-0.01581802480186355","-0.024307276736193217","-0.024307276736193217","-0.024307276736193217","-0.006941339903631193","-0.006941339903631193","-0.006941339903631193"
"48","-0.008992787672750122","-0.008992787672750122","-0.008992787672750122","-0.004168110588057894","-0.004168110588057894","-0.004168110588057894","-0.002130016587658592","-0.002130016587658592","-0.002130016587658592","-0.01569696092303135","-0.01569696092303135","-0.01569696092303135","-0.024019814036433218","-0.024019814036433218","-0.024019814036433218","-0.006946824254106066","-0.006946824254106066","-0.006946824254106066"
"49","-0.008916047116099475","-0.008916047116099475","-0.008916047116099475","-0.004155104533095764","-0.004155104533095764","-0.004155104533095764","-0.0021257315816969814","-0.0021257315816969814","-0.0021257315816969814","-0.015762047415201347","-0.015762047415201347","-0.015762047415201347","-0.024381168192339018","-0.024381168192339018","-0.024381168192339018","-0.0069369599880428874","-0.0069369599880428874","-0.0069369599880428874"
